STATE/UT,Non-Monsoon Period Actual (mm),Non-Monsoon Period Normal (mm),Non-Monsoon Period % Deviation,Non-Monsoon Period Percentage of Non-Monsoon Rainfall from Annual,Monsoon Period Actual (mm),Monsoon Period Normal (mm),Monsoon Period % Deviation,Monsoon Period Percentage of Monsoon Rainfall from Annual,Cumulative (Annual) Actual (mm),Cumulative (Annual) Normal (mm),Cumulative (Annual) % Deviation
Andaman & Nicobar,1461.72,,,-,-,1447.72,,-,2909.44,,-
Andhra Pradesh,403.42,377.42,6.89,45.81,492.12,-3.04,54.19,880.54,869.54,1.27
Arunachal Pradesh,771.36,1066.08,-27.65,36.60,1336.35,1935.05,-30.94,63.40,2107.71,3001.13,-29.77
Assam,564.8,830.39,-31.98,30.01,1317.13,1442.10,-8.67,69.99,1881.93,2272.49,-17.19
Bihar,178.95,187.98,-4.8,18.05,812.40,1034.27,-21.45,81.95,991.35,1222.25,-18.89
Chandigarh,307.4,231.1,33.02,19.66,1255.80,846.60,48.33,80.34,1563.2,1077.7,45.05
Chhattisgarh,198.57,160,24.11,15.80,1057.93,1140.08,-7.21,84.20,1256.5,1300.08,-3.35
Dadra and Nagar Haveli,65.12,-,,-,2.44,2604.40,-,,-,2669.52,-,-
Daman & Diu,43.08,50.8,-15.2,2.35,1786.52,574.20,211.13,97.65,1829.6,625,192.74
Delhi,171.39,126.9,35.06,22.96,575.19,667.10,-13.78,77.04,746.58,794,-5.97
Goa,251.84,271.3,-7.17,6.86,3421.13,2773.90,23.33,93.14,3672.97,3045.2,20.62
Gujarat,64.2,38.21,68.02,7.22,825.30,672.68,22.69,92.78,889.5,710.89,25.12
Haryana,152.02,97.92,55.25,25.05,454.89,460.09,-1.13,74.95,606.91,558.01,8.76
Himachal Pradesh,417.86,550.45,-24.09,33.02,847.60,772.36,9.74,66.98,1265.46,1322.81,-4.34
Jammu & Kashmir,560.29,648.47,-13.6,53.53,486.35,552.99,-12.05,46.47,1046.64,1201.46,-12.89
Jharkhand,296.98,230.5,28.84,26.80,811.20,1095.08,-25.92,73.20,1108.18,1325.58,-16.4
Karnataka,246.95,319.73,-22.76,28.50,619.58,896.12,-30.86,71.50,866.53,1215.85,-28.73
Kerala,991.15,956.38,3.64,44.07,1257.86,2140.62,-41.24,55.93,2249.01,3097,-27.38
Ladakh,189.88,-,-,60.08,126.17,-,-,39.92,316.05,-,-
Madhya Pradesh,130.17,105.23,23.7,12.11,945.01,996.91,-5.21,87.89,1075.18,1102.14,-2.45
Maharashtra,128.17,141.56,-9.46,11.96,943.51,1001.60,-5.80,88.04,1071.68,1143.16,-6.25
Manipur,289.7,527.35,-45.06,30.93,646.87,841.25,-23.11,69.07,936.57,1368.6,-31.57
Meghalaya,785.24,1786.3,-56.04,24.49,2421.64,6218.27,-61.06,75.51,3206.88,8004.57,-59.94
Mizoram,503.92,833.1,-39.51,29.68,1194.12,1345.10,-11.22,70.32,1698.04,2178.2,-22.04
Nagaland,482.67,559.82,-13.78,27.33,1283.48,1341.80,-4.35,72.67,1766.15,1901.62,-7.12
Odisha,307.99,310.48,-0.8,21.97,1093.75,1159.49,-5.67,78.03,1401.74,1469.97,-4.64
Pondicherry,875.23,1036.5,-15.56,66.00,450.82,326.70,37.99,34.00,1326.05,1363.2,-2.73
Punjab,211.81,145.71,45.36,28.27,537.44,500.42,7.40,71.73,749.25,646.13,15.96
Rajasthan,129.28,43.35,198.22,20.93,488.41,418.13,16.81,79.07,617.69,461.48,33.85
Sikkim,1209.64,1066.6,13.41,39.47,1854.92,2023.90,-8.35,60.53,3064.56,3090.5,-0.84
Tamil Nadu,683.19,605.59,12.81,66.07,350.79,316.35,10.89,33.93,1033.98,921.94,12.15
Telangana,235.79,175.51,34.35,20.81,897.27,766.95,16.99,79.19,1133.06,942.46,20.22
Tripura,534.36,882.88,-39.48,27.60,1401.55,1478.47,-5.20,72.40,1935.91,2361.35,-18.02
Uttar Pradesh,121.5,124.02,-2.03,15.76,649.61,856.79,-24.18,84.24,771.11,980.81,-21.38
Uttarakhand,297.11,357.19,-16.82,18.69,1292.21,1212.52,6.57,81.31,1589.32,1569.71,1.25
West Bengal,422.06,397.04,6.3,26.07,1196.94,1342.21,-10.82,73.93,1619,1739.25,-6.91
India,284.51,305.32,-6.82,26.39,793.66,914.46,-13.21,73.61,1078.17,1219.78,-11.61