Sr No,States,No of Wells Analysed,Normal,Normal %,Mild,Mild %,Moderate,Moderate %,Severe,Severe %,Extreme,Extreme %,Drought,Drought %
1,Andaman and Nicobar Islands,109,92,84.4,8,7.3,6,5.5,2,1.8,1,0.9,17,15.6
2,Andhra Pradesh,623,199,31.9,119,19.1,105,16.9,72,11.6,128,20.5,424,68.1
3,Arunachal Pradesh,20,9,45.0,6,30.0,3,15.0,0,0.0,2,10.0,11,55.0
4,Assam,225,169,75.1,23,10.2,14,6.2,7,3.1,12,5.3,56,24.9
5,Bihar,631,421,66.7,119,18.9,53,8.4,16,2.5,22,3.5,210,33.3
6,Chandigarh,8,8,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,Chhattisgarh,717,569,79.4,81,11.3,31,4.3,17,2.4,19,2.6,148,20.6
8,Delhi,74,64,86.5,5,6.8,2,2.7,1,1.4,2,2.7,10,13.5
9,Goa,81,55,67.9,20,24.7,2,2.5,1,1.2,3,3.7,26,32.1
10,Gujarat,625,521,83.4,49,7.8,30,4.8,11,1.8,14,2.2,104,16.6
11,Haryana,623,509,81.7,60,9.6,35,5.6,8,1.3,11,1.8,114,18.3
12,Himachal Pradesh,99,89,89.9,8,8.1,1,1.0,0,0.0,1,1.0,10,10.1
13,Jammu and Kashmir,239,196,82.0,26,10.9,5,2.1,9,3.8,3,1.3,43,18.0
14,Jharkhand,235,178,75.7,29,12.3,9,3.8,5,2.1,14,6.0,57,24.3
15,Karnataka,1212,599,49.4,271,22.4,159,13.1,75,6.2,108,8.9,613,50.6
16,Kerala,1333,845,63.4,69,5.2,66,5.0,51,3.8,302,22.7,488,36.6
17,Madhya Pradesh,1145,911,79.6,121,10.6,56,4.9,25,2.2,32,2.8,234,20.4
18,Maharashtra,1573,1179,75.0,211,13.4,96,6.1,34,2.2,53,3.4,394,25.0
19,Meghalaya,43,34,79.1,6,14.0,2,4.7,1,2.3,0,0.0,9,20.9
20,Nagaland,10,7,70.0,1,10.0,2,20.0,0,0.0,0,0.0,3,33.3
21,Odisha,1132,852,75.3,128,11.3,62,5.5,32,2.8,58,5.1,280,24.7
22,Puducherry,7,5,71.4,2,28.6,0,0.0,0,0.0,0,0.0,2,28.6
23,Punjab,482,373,77.4,94,19.5,10,2.1,2,0.4,3,0.6,109,22.6
24,Rajasthan,808,623,77.1,95,11.8,43,5.3,15,1.9,32,4.0,185,22.9
25,Tamil Nadu,638,551,88.2,55,7.5,20,2.7,6,0.8,6,0.8,87,11.8
26,Telangana,283,212,74.9,32,11.3,19,6.7,11,3.9,9,3.2,71,25.1
27,Dadra Nagar Haveli And Daman And Diu,23,19,82.6,1,4.3,1,4.3,0,0.0,2,8.7,4,17.4
28,Tripura,64,46,71.9,6,9.4,9,14.1,1,1.6,2,3.1,18,28.1
29,Uttar Pradesh,638,499,78.2,88,13.8,28,4.4,7,1.1,16,2.5,139,21.8
30,Uttarakhand,150,131,87.3,8,5.3,7,4.7,2,1.3,2,1.3,19,12.7
31,West Bengal,666,546,82.0,69,10.4,29,4.4,10,1.5,12,1.8,120,18.0
,Total,14616,10611,72.6,1810,12.4,905,6.2,421,2.9,869,5.9,4005,27.4