Sr. No,State,No of Wells Analysed,Normal,Normal %,Mild,Mild %,Moderate,Moderate %,Severe,Severe %,Extreme,Extreme %,Drought,Drought %
1,Andaman and Nicobar Islands,109,73,67.0,10,9.2,16,14.7,2,1.8,8,7.3,36,33.0
2,Andhra Pradesh,608,565,92.9,23,3.8,9,1.5,5,0.8,6,1.0,43,7.1
3,Arunachal Pradesh,20,14,70.0,0,0.0,2,10.0,3,15.0,1,5.0,6,30.0
4,Assam,237,205,86.5,20,8.4,5,2.1,2,0.8,5,2.1,32,13.5
5,Bihar,488,365,74.8,84,17.2,25,5.1,11,2.3,3,0.6,123,25.2
6,Chandigarh,8,8,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,Chhattisgarh,671,512,76.3,109,16.2,37,5.5,7,1.0,6,0.9,159,23.7
8,Delhi,74,66,89.2,7,9.5,1,1.4,0,0.0,0,0.0,8,10.8
9,Goa,80,56,70.0,20,25.0,3,3.8,0,0.0,1,1.3,24,30.0
10,Gujarat,612,545,89.1,42,6.9,17,2.8,5,0.8,3,0.5,67,10.9
11,Haryana,682,592,86.8,72,10.6,13,1.9,4,0.6,1,0.1,90,13.2
12,Himachal Pradesh,101,94,93.1,5,5.0,2,2.0,0,0.0,0,0.0,7,6.9
13,Jammu and Kashmir,224,166,74.1,32,14.3,12,5.4,6,2.7,8,3.6,58,25.9
14,Jharkhand,176,138,78.4,29,16.5,5,2.8,3,1.7,1,0.6,38,21.6
15,Karnataka,1196,967,80.9,138,11.5,62,5.2,17,1.4,12,1.0,229,19.1
16,Kerala,1213,1106,91.2,75,6.2,21,1.7,5,0.4,6,0.5,107,8.8
17,Madhya Pradesh,1122,989,88.1,82,7.3,32,2.9,8,0.7,11,1.0,133,11.9
18,Maharashtra,1389,1251,90.1,88,6.3,31,2.2,5,0.4,14,1.0,138,9.9
19,Meghalaya,46,44,95.7,1,2.2,1,2.2,0,0.0,0,0.0,2,4.3
20,Nagaland,6,4,66.7,1,16.7,1,16.7,0,0.0,0,0.0,2,33.3
21,Odisha,1022,814,79.6,122,11.9,58,5.7,17,1.7,11,1.1,208,20.4
22,Puducherry,7,7,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
23,Punjab,522,423,81.0,88,16.9,9,1.7,2,0.4,0,0.0,99,19.0
24,Rajasthan,797,690,86.6,76,9.5,20,2.5,8,1.0,3,0.4,107,13.4
25,Tamil Nadu,628,573,91.2,32,5.1,12,1.9,7,1.1,4,0.6,55,8.8
26,Telangana,277,265,95.7,6,2.2,4,1.4,1,0.4,1,0.4,12,4.3
27,Dadra Nagar Haveli and Daman Diu,16,15,93.8,1,6.3,0,0.0,0,0.0,0,0.0,1,6.3
28,Tripura,52,36,69.2,9,17.3,6,11.5,0,0.0,1,1.9,16,30.8
29,Uttar Pradesh,570,476,83.5,67,11.8,18,3.2,4,0.7,5,0.9,94,16.5
30,Uttarakhand,149,110,73.8,27,18.1,6,4.0,3,2.0,3,2.0,39,26.2
31,West Bengal,617,408,66.1,111,18.0,55,8.9,16,2.6,27,4.4,209,33.9
,Total,13719,11577,84.4,1377,10.0,483,3.5,141,1.0,141,1.0,2142,15.6