Sr. No.,State/UT Name,No of well analysed,0 to 2 (mbgl) No.,0 to 2 (mbgl) %,2 to 5 (mbgl) No.,2 to 5 (mbgl) %,5 to 10 (mbgl) No.,5 to 10 (mbgl) %,10 to 20 (mbgl) No.,10 to 20 (mbgl) %,20 to 40 (mbgl) No.,20 to 40 (mbgl) %,> 40 (mbgl) No.,> 40 (mbgl) %
1,Andhra Pradesh,527,21,4.0,112,21.3,168,31.9,147,27.9,54,10.2,25,4.7
2,Arunachal Pradesh,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
3,Assam,50,9,18.0,28,56.0,12,24.0,1,2.0,0,0.0,0,0.0
4,Bihar,52,1,1.9,14,26.9,27,51.9,10,19.2,0,0.0,0,0.0
5,Chhattisgarh,141,0,0.0,16,11.3,50,35.5,50,35.5,22,15.6,3,2.1
6,Goa,43,6,14.0,10,23.3,15,34.9,9,20.9,3,7.0,0,0.0
7,Gujarat,212,4,1.9,29,13.7,33,15.6,42,19.8,24,11.3,80,37.7
8,Haryana,125,4,3.2,13,10.4,11,8.8,27,21.6,40,32.0,30,24.0
9,Jharkhand,84,1,1.2,18,21.4,41,48.8,16,19.0,7,8.3,1,1.2
10,Karnataka,762,19,2.5,96,12.6,192,25.2,259,34.0,142,18.6,54,7.1
11,Kerala,131,17,13.0,39,29.8,55,42.0,17,13.0,3,2.3,0,0.0
12,Madhya Pradesh,222,7,3.2,33,14.9,64,28.8,54,24.3,40,18.0,24,10.8
13,Maharashtra,180,5,2.8,30,16.7,55,30.6,51,28.3,20,11.1,19,10.6
14,Meghalaya,12,0,0.0,4,33.3,3,25.0,1,8.3,3,25.0,1,8.3
15,Nagaland,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
16,Odisha,235,12,5.1,73,31.1,103,43.8,38,16.2,9,3.8,0,0.0
17,Punjab,143,6,4.2,10,7.0,18,12.6,32,22.4,56,39.2,21,14.7
18,Tamil Nadu,266,41,15.4,61,22.9,63,23.7,38,14.3,26,9.8,37,13.9
19,Telangana,843,47,5.6,217,25.7,314,37.2,217,25.7,35,4.2,13,1.5
20,Tripura,8,0,0.0,2,25.0,2,25.0,2,25.0,2,25.0,0,0.0
21,Uttar Pradesh,118,9,7.6,38,32.2,37,31.4,23,19.5,11,9.3,0,0.0
22,Uttarakhand,3,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,2,66.7
23,West Bengal,904,11,1.2,178,19.7,275,30.4,333,36.8,107,11.8,0,0.0
24,Chandigarh,12,0,0.0,1,8.3,0,0.0,3,25.0,4,33.3,4,33.3
25,The Dadra And Nagar Haveli And Daman And Diu,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
26,Puducherry,5,0,0.0,0,0.0,0,0.0,3,60.0,2,40.0,0,0.0
,Total,5082,220,4.3,1025,20.2,1539,30.3,1373,27.0,611,12.0,314,6.2